id;owner.id;data;mandatory;type;secured
service:prov:aws:access-key-id;service:prov:aws;{"pattern":"\\w{16,128}"};true;TEXT
service:prov:aws:secret-access-key;service:prov:aws;{"pattern":".{20,}"};true;TEXT;true
service:prov:aws:account;service:prov:aws;;true;TEXT
