name;optimized;latency;minimal;maximal;instanceType;containerType;engine;databaseType;iops;throughput;availability;durability9;description;network
gp2;IOPS;BEST;1;16384;%;;%;;16000;250;99.9;
gp3;IOPS;BEST;1;16384;%;;%;;16000;1000;99.9;
io1;IOPS;BEST;4;16384;%;;%;;64000;1000;99.9;
io2;IOPS;BEST;4;16384;%;;%;;64000;1000;99.999;
st1;THROUGHPUT;GOOD;125;16384;%;;%;;500;500;;;
sc1;THROUGHPUT;GOOD;125;16384;%;;%;;250;250;;;
standard;;LOW;1;1024;%;;%;;40;90;;;
glacier;DURABILITY;WORST;0;;;;;;;;99.99;11;;
s3;DURABILITY;BEST;0;;;;;;;;99.99;11;;
s3-ia;DURABILITY;GOOD;0;;;;;;;;99.9;11;;
s3-z-ia;DURABILITY;GOOD;0;;;;;;;;99.5;11;;
s3-rr;DURABILITY;BEST;0;;;;;;;;99.5;11;;
snapshot;DURABILITY;BEST;0;;;;;;;;11;;
efs;THROUGHPUT;GOOD;0;;%;%;;;;;99.99;;Frequently accessed data requiring the highest durability and availability.;2049/tcp
efs-ia;THROUGHPUT;MEDIUM;0;;%;%;;;;;99.99;;Per GB retrieval fees apply.;2049/tcp
efs-z;THROUGHPUT;GOOD;0;;%;%;;;;;99.9;;Not resilient to the loss of the Availability Zone.;2049/tcp
efs-z-ia;THROUGHPUT;MEDIUM;0;;%;%;;;;;99.9;;Not resilient to the loss of the Availability Zone. Per GB retrieval fees apply.;2049/tcp
